2024-12-10 14:23:10 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.1.Final
2024-12-10 14:23:10 [main] INFO  : Starting IdentityServiceApplication using Java 23.0.1 with PID 15172 (C:\Data\DevDeli_v2\IdentityService\build\classes\java\main started by Vu Minh Quan in C:\Data\DevDeli_v2)
2024-12-10 14:23:10 [main] INFO  : No active profile set, falling back to 1 default profile: "default"
2024-12-10 14:23:12 [main] INFO  : Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-10 14:23:12 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-12-10 14:23:13 [main] INFO  : Finished Spring Data repository scanning in 326 ms. Found 6 JPA repository interfaces.
2024-12-10 14:23:13 [main] INFO  : Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-10 14:23:13 [main] INFO  : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-12-10 14:23:13 [main] INFO  : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.identityService.repository.AccountRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-12-10 14:23:13 [main] INFO  : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.identityService.repository.AccountRoleRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-12-10 14:23:13 [main] INFO  : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.identityService.repository.LoggerRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-12-10 14:23:13 [main] INFO  : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.identityService.repository.PermissionRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-12-10 14:23:13 [main] INFO  : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.identityService.repository.RolePermissionRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-12-10 14:23:13 [main] INFO  : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.identityService.repository.RoleRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-12-10 14:23:13 [main] INFO  : Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
2024-12-10 14:23:14 [main] INFO  : Tomcat initialized with port 2818 (http)
2024-12-10 14:23:14 [main] INFO  : Initializing ProtocolHandler ["http-nio-2818"]
2024-12-10 14:23:14 [main] INFO  : Starting service [Tomcat]
2024-12-10 14:23:14 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.31]
2024-12-10 14:23:14 [main] INFO  : Initializing Spring embedded WebApplicationContext
2024-12-10 14:23:14 [main] INFO  : Root WebApplicationContext: initialization completed in 3737 ms
2024-12-10 14:23:15 [main] INFO  : HikariPool-1 - Starting...
2024-12-10 14:23:15 [main] INFO  : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@355493bf
2024-12-10 14:23:15 [main] INFO  : HikariPool-1 - Start completed.
2024-12-10 14:23:15 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-12-10 14:23:15 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.3.Final
2024-12-10 14:23:15 [main] INFO  : HHH000026: Second-level cache disabled
2024-12-10 14:23:16 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-12-10 14:23:18 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-12-10 14:23:18 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-12-10 14:23:19 [main] INFO  : Hibernate is in classpath; If applicable, HQL parser will be used.
2024-12-10 14:23:22 [main] INFO  : Starting ProtocolHandler ["http-nio-2818"]
2024-12-10 14:23:22 [main] INFO  : Tomcat started on port 2818 (http) with context path '/api/v1.0.0'
2024-12-10 14:23:22 [main] INFO  : Started IdentityServiceApplication in 12.678 seconds (process running for 17.748)
2024-12-10 14:24:10 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-12-10 14:24:10 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2024-12-10 14:24:10 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
